expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name,contractSymbol,underlying_ticker
2025-12-16,2025-12-16,6520.0,C,0.4004576556396484,380.43,6816.509765625,4.0,298.7,302.3,298.7,302.3,1.0,^SPX-2025-12-16-6520.0-C,SPXW251216C06520000,^SPX
2025-12-16,2025-12-16,6520.0,P,0.22852333984375,0.1,6816.509765625,64.0,0.1,0.15,0.1,0.15,22.0,^SPX-2025-12-16-6520.0-P,SPXW251216P06520000,^SPX
2025-12-16,2025-12-16,6525.0,C,0.3950560983276368,314.44,6816.509765625,4.0,293.7,297.3,293.7,297.3,2.0,^SPX-2025-12-16-6525.0-C,SPXW251216C06525000,^SPX
2025-12-16,2025-12-16,6525.0,P,0.23218541259765624,0.15,6816.509765625,613.0,0.1,0.2,0.1,0.2,898.0,^SPX-2025-12-16-6525.0-P,SPXW251216P06525000,^SPX
2025-12-16,2025-12-16,6530.0,C,0.38968505828857425,304.89,6816.509765625,2.0,288.7,292.3,288.7,292.3,1.0,^SPX-2025-12-16-6530.0-C,SPXW251216C06530000,^SPX
2025-12-16,2025-12-16,6530.0,P,0.22852333984375,0.15,6816.509765625,346.0,0.1,0.2,0.1,0.2,180.0,^SPX-2025-12-16-6530.0-P,SPXW251216P06530000,^SPX
2025-12-16,2025-12-16,6535.0,P,0.22486126708984372,0.1,6816.509765625,174.0,0.1,0.2,0.1,0.2,132.0,^SPX-2025-12-16-6535.0-P,SPXW251216P06535000,^SPX
2025-12-16,2025-12-16,6540.0,C,0.3788514263916015,278.48,6816.509765625,1.0,278.6,282.3,278.6,282.3,10.0,^SPX-2025-12-16-6540.0-C,SPXW251216C06540000,^SPX
2025-12-16,2025-12-16,6540.0,P,0.2211991943359375,0.15,6816.509765625,309.0,0.1,0.2,0.1,0.2,564.0,^SPX-2025-12-16-6540.0-P,SPXW251216P06540000,^SPX
2025-12-16,2025-12-16,6545.0,P,0.21753712158203126,0.15,6816.509765625,42.0,0.1,0.2,0.1,0.2,398.0,^SPX-2025-12-16-6545.0-P,SPXW251216P06545000,^SPX
2025-12-16,2025-12-16,6550.0,C,0.3680177944946289,267.72,6816.509765625,23.0,268.6,272.3,268.6,272.3,2.0,^SPX-2025-12-16-6550.0-C,SPXW251216C06550000,^SPX
2025-12-16,2025-12-16,6550.0,P,0.213875048828125,0.15,6816.509765625,517.0,0.1,0.2,0.1,0.2,4885.0,^SPX-2025-12-16-6550.0-P,SPXW251216P06550000,^SPX
2025-12-16,2025-12-16,6555.0,P,0.21021297607421874,0.15,6816.509765625,53.0,0.1,0.2,0.1,0.2,84.0,^SPX-2025-12-16-6555.0-P,SPXW251216P06555000,^SPX
2025-12-16,2025-12-16,6560.0,C,0.35712312805175783,258.81,6816.509765625,6.0,258.6,262.3,258.6,262.3,16.0,^SPX-2025-12-16-6560.0-C,SPXW251216C06560000,^SPX
2025-12-16,2025-12-16,6560.0,P,0.20655090332031245,0.15,6816.509765625,186.0,0.1,0.2,0.1,0.2,109.0,^SPX-2025-12-16-6560.0-P,SPXW251216P06560000,^SPX
2025-12-16,2025-12-16,6565.0,P,0.20288883056640622,0.15,6816.509765625,286.0,0.1,0.2,0.1,0.2,4329.0,^SPX-2025-12-16-6565.0-P,SPXW251216P06565000,^SPX
2025-12-16,2025-12-16,6570.0,C,0.3461674270629882,197.23,6816.509765625,6.0,248.8,252.3,248.8,252.3,2.0,^SPX-2025-12-16-6570.0-C,SPXW251216C06570000,^SPX
2025-12-16,2025-12-16,6570.0,P,0.1992267578125,0.15,6816.509765625,363.0,0.1,0.2,0.1,0.2,199.0,^SPX-2025-12-16-6570.0-P,SPXW251216P06570000,^SPX
2025-12-16,2025-12-16,6575.0,C,0.3406743179321289,274.22,6816.509765625,14.0,243.8,247.3,243.8,247.3,5.0,^SPX-2025-12-16-6575.0-C,SPXW251216C06575000,^SPX
2025-12-16,2025-12-16,6575.0,P,0.19556468505859376,0.15,6816.509765625,404.0,0.1,0.2,0.1,0.2,401.0,^SPX-2025-12-16-6575.0-P,SPXW251216P06575000,^SPX
2025-12-16,2025-12-16,6580.0,C,0.33518120880126956,292.9,6816.509765625,1.0,238.8,242.3,238.8,242.3,,^SPX-2025-12-16-6580.0-C,SPXW251216C06580000,^SPX
2025-12-16,2025-12-16,6580.0,P,0.19190261230468753,0.15,6816.509765625,138.0,0.1,0.2,0.1,0.2,1051.0,^SPX-2025-12-16-6580.0-P,SPXW251216P06580000,^SPX
2025-12-16,2025-12-16,6585.0,P,0.18824053955078124,0.15,6816.509765625,165.0,0.1,0.2,0.1,0.2,12974.0,^SPX-2025-12-16-6585.0-P,SPXW251216P06585000,^SPX
2025-12-16,2025-12-16,6590.0,C,0.3227606787109374,263.71,6816.509765625,7.0,228.8,232.2,228.8,232.2,1.0,^SPX-2025-12-16-6590.0-C,SPXW251216C06590000,^SPX
